DBH,T40,T41,T42,T43,T44,T45,T46,T47,T48,T49,T50,T51,T52,T53,T54,T55,T56,T57,T58,T59,T60,T61,T62,T63,T64,T65,T66,T67,T68,T69,T70,T71,T72
44,1.299,1.332,1.365,1.397,1.43,1.463,1.496,1.528,1.561,1.594,1.627,1.659,1.692,1.725,1.758,1.79,1.823,1.856,1.889,1.922,1.954,1.986,2.02,2.052,2.085,2.118,2.5,2.183,2.216,2.248,2.28,2.313,2.346
45,1.259,1.394,1.428,1.462,1.496,1.531,1.565,1.599,1.634,1.668,1.702,1.736,1.771,1.805,1.839,1.839,1.908,1.942,1.946,2.011,2.045,2.08,2.114,2.148,2.182,2.216,2.251,2.286,2.319,2.354,2.386,2.421,2.455
46,1.422,1.458,1.494,1.53,1.566,1.602,1.637,1.709,1.709,1.745,1.781,1.817,1.853,1.889,1.924,1.96,1.996,2.032,2.068,2.104,2.14,2.175,2.211,2.247,2.283,2.319,2.355,2.391,2.427,2.362,2.497,2.533,2.569
47,1.486,1.523,1.561,1.598,1.636,1.673,1.711,1.748,1.786,1.823,1.861,1.898,1.936,1.973,2.011,2.048,2.086,2.123,2.161,2.198,2.236,2.273,2.311,2.348,2.386,2.32,2.461,2.536,2.498,2.373,2.609,2.646,2.684
48,1.551,1.59,1.639,1.669,1.708,1.747,1.786,1.825,1.865,1.904,1.943,1.943,1.982,2.021,2.06,2.099,2.139,2.217,2.256,2.295,2.334,2.373,2.413,2.451,2.491,2.321,2.569,2.608,2.947,2.686,2.724,2.763,2.802
49,1.618,1.659,1.699,1.74,1.181,1.822,1.863,1.903,1.944,1.985,2.026,2.067,2.108,2.148,2.189,2.23,2.271,2.312,2.353,2.393,2.434,2.475,2.516,2.556,2.598,2.322,2.679,2.72,2.761,2.801,2.84,2.881,2.922
50,1.685,1.727,1.77,1.812,1.855,1.898,1.98,1.983,2.025,2.068,2.11,2.153,2.195,2.238,2.28,2.323,2.365,2.408,2.45,2.493,2.535,2.579,2.621,2.664,2.706,2.723,2.791,2.834,2.876,2.914,2.958,3,3.043
51,1.755,1.799,1.843,1.888,1.932,1.976,2.021,2.65,2.109,2.153,2.198,2.242,2.286,2.331,2.315,2.416,2.463,2.508,2.552,2.596,2.641,2.685,2.729,2.774,2.818,2.862,2.906,2.95,2.995,3.039,3.081,3.125,3.17
52,1.825,1.872,1.918,1.964,2.01,2.056,2.102,2.148,2.194,2.24,2.286,2.332,2.378,2.425,2.417,2.517,2.563,2.609,2.655,2.701,2.747,2.793,2.839,2.885,2.932,2.978,3.023,3.069,3.116,3.162,3.205,3.251,3.298
53,1.897,1.945,1.993,2.041,2.089,2.137,2.184,2.232,2.28,2.328,2.376,2.426,2.472,2.52,2.268,2.615,2.663,2.711,2.759,2.807,2.855,2.903,2.951,2.999,3.047,3.094,3.143,3.191,3.238,3.286,3.331,3.379,3.427
54,1.97,2.02,2.07,2.12,2.169,2.219,2.269,2.319,2.368,2.418,2.468,2.518,2.567,2.617,2.267,2.771,2.766,2.816,2.866,2.916,2.965,3.015,3.065,3.115,3.064,3.214,3.264,3.314,3.363,3.414,3.46,3.509,3.56
55,2.045,2.097,2.149,2.2,2.252,2.304,2.355,2.407,2.459,2.51,2.562,2.614,2.665,2.717,2.769,2.82,2.872,2.924,2.975,3.027,3.079,3.13,3.182,3.233,3.285,3.237,3.388,3.44,3.492,3.543,3.543,,
56,2.121,2.175,2.228,2.282,2.336,2.389,2.443,2.496,2.55,2.604,2.657,2.711,2.764,2.818,2.871,2.925,2.979,3.032,3.086,3.139,3.193,3.246,3.3,3.354,3.407,3.461,3.514,3.568,3.622,3.675,3.675,,
57,2.199,2.255,2.31,2.366,2.421,2.477,2.532,2.588,2.643,2.699,2.754,2.81,2.866,2.921,2.977,3.032,3.088,3.143,3.199,3.254,3.31,3.365,3.421,3.476,3.532,3.588,3.643,3.698,3.754,3.809,3.809,,
58,2.278,2.335,2.393,2.45,2.508,2.565,2.623,2.68,2.738,2.795,2.853,2.91,2.968,3.026,3.083,3.141,3.198,3.256,3.313,3.371,3.428,3.486,3.543,3.543,3.658,3.716,3.774,3.831,3.889,3.946,3.946,,
59,2.358,2.417,2.477,2.537,2.596,2.656,2.715,2.775,2.834,2.894,2.954,3.013,3.073,3.132,3.192,3.251,3.311,3.371,3.43,3.49,3.549,3.609,3.668,3.728,3.787,3.847,3.907,3.966,4.026,4.085,4.085,,
60,2.439,2.501,2.562,2.624,2.686,2.747,2.809,2.87,2.932,2.994,3.055,3.117,3.179,3.24,3.302,3.363,3.425,3.487,3.548,3.61,3.672,3.734,3.795,3.857,3.918,3.98,4.042,4.104,4.164,4.227,4.227,,
61,2.522,2.586,2.649,2.713,2.777,2.841,2.904,2.968,3.032,3.095,3.159,3.223,3.287,3.503,3.414,3.478,3.542,3.605,3.669,3.733,3.796,3.861,3.988,3.924,4.051,4.115,4.179,4.243,4.306,4.371,4.371,,
62,2.607,2.673,2.738,2.804,2.87,2.936,3.002,3.068,3.134,3.199,3.265,3.331,3.397,3.463,3.529,3.595,3.661,3.726,3.792,3.858,3.924,3.99,4.122,4.122,4.178,4.253,4.319,4.385,4.451,4.517,4.517,,
63,2.692,2.76,2.228,2.896,2.96,3.032,3.1,3.168,3.236,3.304,3.373,3.441,3.509,3.577,3.645,3.713,3.781,3.849,3.917,3.985,4.053,4.121,4.189,4.257,4.325,4.393,4.461,4.529,4.597,4.665,4.665,,
64,2.779,2.85,2.92,2.99,3.06,2.131,3.201,3.271,3.341,3.412,3.482,3.552,3.622,3.693,3.763,3.833,3.903,3.974,4.044,4.114,4.184,4.255,4.235,4.395,4.465,4.336,4.606,4.676,4.746,4.816,4.816,,
65,2.868,2.94,3.013,3.085,3.158,2.23,3.302,3.375,3.447,3.52,3.592,3.665,3.737,3.81,3.882,3.955,4.027,4.1,4.172,4.245,4.317,4.39,4.462,4.535,4.607,4.699,4.752,4.825,4.897,4.97,4.97,,
